the_geom,PHYSICALID,L_LOW_HN,L_HIGH_HN,R_LOW_HN,R_HIGH_HN,L_ZIP,R_ZIP,STATUS,BIKE_LANE,TRAFDIR,RW_TYPE,PRE_TYPE,POST_TYPE,OBJECTID,FCC,Left side Block Face ID,Right Side Block Face ID,Average Travel Time,Roadway Jurisdiction,NOMINALDIR,ACCESSIBLE,NONPED,Borough Code,Borough Indicator,Segloc Status,San District Inc,Left Side Subset,Right Side Subset,Continuous Parity Flag,Twisted Parity Flag,Posted Speed,Segment Length,Street Width,Street Width IRR,Special Disaster,Fire Lane,CREATED_DATE,MODIFIED_DATE,WITHIN_BNDY_DIST,TRUCK ROUTE TYPE,Collection Method,FROM_LEVEL_CODE,TO_LEVEL_CODE,B5SC,Snow Priority,JOINID,BPHYS_ID,Cartography Display Level,Number Travel Lanes,Number Park Lanes,Number Total Lane,Pre-Modifier,Pre-Directional,Post Directional,Post Modifier,Full Street Name,BIKE TRAFFIC DIRECTION,SHAPE__Length,GlobalID,SEGMENT_TYPE,SEGMENT_TYPE_VALUE,STREET NAME,Street Name Label
"MULTILINESTRING ((-73.865894086959 40.728838060928, -73.865488570723 40.729480254846))",34.686,93-001,93-099,93-000,93-098,11374,11374,2,3.0,TF,1,,AVE,31.518,,92.266.753,92.262.521,,,,,,4,,X,,2D,2D,,N,25.0,"259,56623983",44.0,,,,2007 Nov 29 12:00:00 AM,2020 Aug 28 08:49:50 PM,,,,13,13,412990,S,,,,2.0,2.0,4.0,,,,,63 AVE,TF,"104,58122065106",8950f29d-cf65-43ce-84d4-8c64f709d4bf,,,63,63 AVE
"MULTILINESTRING ((-73.946073611675 40.58142187375, -73.945822797028 40.580101685889))",91.09,1,99,2,98,11235,11235,2,,TF,1,,ST,82.399,,1.822.603.426,1.822.606.305,,,,,,3,,,,3C,3C,,N,25.0,"485,9969173",32.0,,,,2007 Nov 29 12:00:00 AM,2017 Mar 17 09:31:11 AM,,,,13,13,344130,S,,,,1.0,2.0,3.0,,,,,GIRARD ST,,"195,5057676471",530fe73b-ac53-484d-b1ab-4dfc0de47c79,,,GIRARD,GIRARD ST
"MULTILINESTRING ((-73.877855970545 40.56745523903, -73.877857670046 40.567473766497, -73.877861479694 40.567492110585, -73.877867370518 40.5675101318, -73.877875297722 40.567527693102, -73.877885201024 40.567544660948, -73.877897005117 40.567560906309, -73.877910620236 40.56757630565, -73.877925942849 40.567590741869, -73.877942856435 40.567604105187, -73.877961232378 40.567616293987, -73.87798093094 40.56762721558, -73.878001802325 40.567636786914, -73.878023687819 40.567644935208), (-73.878023687819 40.567644935208, -73.87804642081 40.56765159863, -73.878069828627 40.567656726399, -73.878093733268 40.56766027952, -73.878117952956 40.567662230976, -73.878142303517 40.567662565926, -73.878166599782 40.567661281824, -73.878190656994 40.567658388435, -73.878214292214 40.567653907761, -73.878237325714 40.567647873872, -73.87825958234 40.567640332654, -73.878280892845 40.567631341451, -73.878301095177 40.567620968634, -73.878320035712 40.567609293081))",145.668,,,,,11694,11694,2,,NV,6,,PATH,104.311,,,,,,,,,4,,,,,,,N,,"175,98374409",,,,,2012 May 22 11:11:46 AM,2015 Sep 23 12:00:00 AM,,,,13,13,415795,,,,,,,,,,,,PEDESTRIAN PATH,,"70,59510530547",ae03cf82-ab00-4a20-a9ea-078b9580843f,,,PEDESTRIAN,PEDESTRIAN PATH
"MULTILINESTRING ((-73.963153609759 40.701028216877, -73.961750332482 40.701952179565))",168.1,1,73,2,46,11249,11249,2,,TF,1,,ST,109.371,,1.922.613.859,1.922.611.510,,,,,,3,,,,4B,4B,,N,25.0,"525,57260723",52.0,,,,2007 Nov 29 12:00:00 AM,2024 Apr 14 10:14:14 AM,,,,13,13,350530,C,,,,2.0,2.0,4.0,,,,,HOOPER ST,,"206,90342663598",13954797-505a-4557-8c87-3b1d9f9fa7b4,,,HOOPER,HOOPER ST
"MULTILINESTRING ((-73.771472092555 40.744269876973, -73.771453415535 40.744229776203, -73.771433610382 40.744187412752))",23.847,,,,,11364,11364,2,,TF,2,,EXPY,127.239,,82.266.967,72.260.482,,,,,V,4,,,,,,,N,50.0,"16,38100715",35.0,,,,2007 Nov 29 12:00:00 AM,2020 Aug 28 08:49:50 PM,,3.0,,9,9,439070,C,,,10.0,3.0,0.0,3.0,,,,,CLEARVIEW EXPY,,"12,8515393071",58b6add6-92d8-4b34-8e4c-505d57a79324,,,CLEARVIEW,CLEARVIEW EXPY
"MULTILINESTRING ((-73.774863716221 40.68702483619, -73.774799218702 40.68706023583))",19.981,,,,,11434,11434,2,,TW,1,,BLVD,17.778,,,,,,,,,4,,,,5D,5D,,N,25.0,"22,05209035",50.0,,,,2007 Nov 29 12:00:00 AM,2017 Mar 17 09:50:06 AM,,,,13,13,445290,C,,,,4.0,0.0,4.0,,,,,FOCH BLVD,,"8,86324592288",bc6e842f-febb-49be-9915-9dcc19ed5a38,,,FOCH,FOCH BLVD
"MULTILINESTRING ((-73.991326431759 40.719410767606, -73.990529917279 40.719167972526))",4.148,0,0,55,69,10002,10002,2,1.0,FT,1,,ST,3.453,,1.222.607.236,1.222.606.888,,,,,,1,,,,1A,1A,,N,25.0,"237,85460084",46.0,,,,2007 Nov 29 12:00:00 AM,2024 Apr 10 01:15:28 PM,,3.0,,13,13,116310,C,,,,3.0,1.0,4.0,,,,,DELANCEY ST,FT,"95,57003440284",4f667d42-d3a2-47b2-b79c-18d3c556ab90,,,DELANCEY,DELANCEY ST
"MULTILINESTRING ((-73.848791536958 40.680017675281, -73.847933509569 40.678275333585))",83.361,105-001,106-099,105-000,106-098,11417,11417,2,,FT,1,,ST,75.43,,52.261.750,52.263.026,,,,,,4,,,,1D,1D,,N,25.0,"677,93122519",30.0,,,,2007 Nov 29 12:00:00 AM,2017 Oct 13 06:21:01 PM,,,,13,13,418240,H,,,,1.0,2.0,3.0,,,,,90 ST,,"273,0078128957",8e5e8551-fa6a-438f-bf1b-0c7416b4b4bc,,,90,90 ST
"MULTILINESTRING ((-74.147741708521 40.610007463998, -74.148937548347 40.609759051229))",49.102,2530,2598,2537,2599,10314,10314,2,,TW,1,,BLVD,44.717,,1.622.606.364,1.622.606.878,,,,,,5,,X,,4D,4D,,N,25.0,"344,14506113",60.0,,,,2007 Nov 29 12:00:00 AM,2019 Apr 15 03:23:27 PM,,2.0,,13,13,553000,C,,,10.0,4.0,0.0,4.0,,,,,VICTORY BLVD,,"138,01401343853",a2a92b85-1ce4-4ab6-8490-7892b94edc13,,,VICTORY,VICTORY BLVD
"MULTILINESTRING ((-74.120554121279 40.611869453242, -74.120479362526 40.610817892586))",101.776,51,83,50,78,10314,10314,2,,TF,1,,LN,91.941,,1.622.609.547,1.622.603.612,,,,,,5,,,,3E,3E,,N,25.0,"383,67268607",30.0,,,,2007 Nov 29 12:00:00 AM,2020 Aug 28 08:49:50 PM,,,F,13,13,548410,C,,,,1.0,2.0,3.0,,,,,SOMMERS LN,,"154,42365851735",5b2f1396-3400-4306-8a2b-73890280b82b,,,SOMMERS,SOMMERS LN
"MULTILINESTRING ((-73.943060598953 40.826652755336, -73.942782645125 40.827352753039))",19.616,781,799,0,0,10031,10031,2,2.0,TW,1,,AVE,17.507,,1.322.605.162,1.322.605.934,,,,,,1,,,,3B,3B,,N,25.0,"266,38335497",60.0,,,,2007 Nov 29 12:00:00 AM,2020 Aug 28 08:49:50 PM,,,,13,13,131190,C,,,,2.0,2.0,4.0,,,,,ST NICHOLAS AVE,TW,"107,52768041107",9791e660-48f5-47e8-89e1-1794aba6af94,,,ST NICHOLAS,ST NICHOLAS AVE
"MULTILINESTRING ((-74.159878877284 40.544767759896, -74.160547640582 40.544356293331))",86.922,46,54,0,0,10312,10312,2,,TF,1,,PL,78.697,,1.722.600.998,1.722.610.337,,,,,,5,,,,3C,3C,,N,25.0,"238,78613558",30.0,,,,2007 Nov 29 12:00:00 AM,2020 Aug 28 08:49:50 PM,,,,13,13,548874,S,,,,1.0,2.0,3.0,,,,,ST ALBANS PL,,"95,78902356469",3ffe35a4-9c34-4525-a880-fd823fe0d9c9,,,ST ALBANS,ST ALBANS PL
"MULTILINESTRING ((-73.920306354306 40.80507715796, -73.920537842337 40.805178217772))",203.389,,,,,10454,10454,2,,TF,2,,EXPY,133.409,,1.322.607.335,1.322.600.174,,,,,V,2,,,,2A,2A,,N,50.0,"231,12471309",34.0,,,,2007 Nov 29 12:00:00 AM,2024 Jun 10 02:45:35 PM,,3.0,,17,17,249460,C,,,10.0,3.0,0.0,3.0,,,,,MAJOR DEEGAN EXPY,,"29,74794554593",6b62d44b-10aa-4b02-8cc5-4b2119a1e77b,,,MAJOR DEEGAN,MAJOR DEEGAN EXPY
"MULTILINESTRING ((-73.782877151811 40.743883335643, -73.781105970257 40.743342648524))",25.859,194-001,195-099,194-000,195-098,11365,11365,2,6.0,TW,1,,AVE,23.19,,82.265.136,82.262.626,,,,,,4,,,,3C,3C,,N,25.0,"528,85039569",32.0,,,,2007 Nov 29 12:00:00 AM,2020 Aug 28 08:49:50 PM,,,F,13,13,465370,S,,,,2.0,1.0,3.0,,,,,UNDERHILL AVE,TW,"212,57005279453",353512d7-18f2-4ed8-871d-28356f8e08a1,,,UNDERHILL,UNDERHILL AVE
"MULTILINESTRING ((-73.865790956772 40.816998386292, -73.86581294403 40.817092766096, -73.865819393418 40.817120450342, -73.865824389458 40.817141892436, -73.865866144884 40.817321094508, -73.865879106082 40.817376719376, -73.865913639286 40.817524922982, -73.865927797064 40.817585684533, -73.865965414565 40.817747123467, -73.865980234207 40.817810722807, -73.866199924245 40.818753517256))",40.557,601,699,620,698,10473,10473,2,,TW,1,,AVE,36.79,,1.422.601.117,1.422.607.058,,,,,,2,,,,1B,1B,,N,25.0,"348,83475233",50.0,,,,2009 Jun 16 12:00:00 AM,2020 Aug 28 08:49:50 PM,,,,13,13,262420,C,,,,2.0,2.0,4.0,,,,,ROSEDALE AVE,,"262,15269919785",f16d4b98-7cdb-4d45-bb96-6b3b1135824e,,,ROSEDALE,ROSEDALE AVE
"MULTILINESTRING ((-73.855511628781 40.720383755114, -73.85494218469 40.720176957179, -73.854593826399 40.720050446436, -73.85409111239 40.719867871025))",70.069,67-039,67-079,67-036,67-074,11375,11375,2,,TF,1,,ST,63.664,,92.268.372,92.262.816,,,,,,4,,,,2E,2E,,N,25.0,"107,00018754",30.0,,,,2007 Nov 29 12:00:00 AM,2025 Oct 20 11:59:32 AM,,,,13,13,444290,S,,,,1.0,2.0,3.0,,,,,EXETER ST,,"175,34780271952",a494459d-80d3-4842-94d5-f5e7d817a9b4,,,EXETER,EXETER ST
"MULTILINESTRING ((-73.910545945236 40.744764291726, -73.909588385191 40.744948778103))",9.395,54-001,54-099,54-000,54-098,11377,11377,2,,TW,1,,AVE,8.334,,102.264.254,102.261.522,,,,,,4,,,,2C,2C,,N,25.0,"273,71532842",40.0,,,,2007 Nov 29 12:00:00 AM,2020 Aug 28 08:49:50 PM,,2.0,,13,13,461090,C,,,,2.0,2.0,4.0,,,,,ROOSEVELT AVE,,"109,98775396242",3e2ee213-7a7a-41b0-978e-ccc9dfbed01c,,,ROOSEVELT,ROOSEVELT AVE
"MULTILINESTRING ((-74.081629577508 40.607578237623, -74.081262183023 40.607350422324, -74.081450670269 40.607148851549, -74.082036400162 40.607178566246))",104.542,1,69,0,0,10304,10304,2,,TF,1,,LOOP,94.367,,1.622.602.896,1.622.603.682,,3.0,,,,5,,,,1C,1C,,N,,"131,51201139",26.0,,,,2007 Nov 29 12:00:00 AM,2017 Mar 17 10:06:44 AM,,,,13,13,539864,V,,,,1.0,2.0,3.0,,,,,MOSEL LOOP,,"154,40179705258",c1dfd42c-af23-499b-9380-507e3e08f0d7,,,MOSEL,MOSEL LOOP
"MULTILINESTRING ((-73.956669794436 40.579877168396, -73.955847511791 40.579532891457))",98.128,1067,1089,1068,1090,11235,11235,2,,TF,1,,AVE,88.715,,1.822.603.321,1.822.601.424,,,,,,3,,,,2A,2A,,N,25.0,"260,5871268",30.0,,,,2007 Nov 29 12:00:00 AM,2020 Sep 23 04:26:56 PM,,,F,13,13,367830,H,,,,1.0,2.0,3.0,,,,,OCEAN VIEW AVE,,"104,52321724259",772c6976-3f67-458d-9242-315eb291817f,,,OCEAN VIEW,OCEAN VIEW AVE
"MULTILINESTRING ((-73.95286897327 40.815853890625, -73.952763948976 40.816551318643, -73.952273143856 40.817228902663))",21.68,76,116,83,115,10027,10027,2,,TW,1,,AVE,19.354,,1.322.604.047,1.322.606.075,,,,,,1,,X,,2B,2B,,N,25.0,"255,75549831",40.0,,,,2007 Nov 29 12:00:00 AM,2020 Aug 28 08:49:50 PM,,,,13,13,115910,C,,,,2.0,2.0,4.0,,,,,CONVENT AVE,,"216,90920910764",8d4c1154-9a34-4efd-92cb-67da8c08276e,,,CONVENT,CONVENT AVE
"MULTILINESTRING ((-73.934622418427 40.610450186301, -73.933902529666 40.610907950773))",48.785,3401,3499,3400,3498,11234,11234,2,,TW,1,,AVE,44.415,,22.262.137,22.261.474,,,,,,3,,X,,7D,7D,,N,25.0,"260,31823468",44.0,,,,2007 Nov 29 12:00:00 AM,2020 Aug 28 08:49:50 PM,,,,13,13,340630,C,,,,2.0,2.0,4.0,,,,,FILLMORE AVE,,"104,53629827193",e2cbe66f-3977-45db-b70d-d9133b3af124,,,FILLMORE,FILLMORE AVE
"MULTILINESTRING ((-73.823454483083 40.863468942247, -73.824116667398 40.863747545691, -73.824360470618 40.863675894396))",118.55,,,,,10475,10475,2,,NV,6,,PATH,99.842,,,,,,,,,2,,,,,,,N,,,,,,,2011 Mar 30 11:48:07 AM,2021 Jun 14 11:42:39 AM,,,,13,13,213770,,,,,,,,,,,,CO-OP CITY SECT 5 PED PATH,,"113,47078238441",f05b3199-486b-4aba-9af7-19f037439aed,,,CO-OP CITY SECT 5 PED,CO-OP CITY SECT 5 PED PATH
"MULTILINESTRING ((-74.137718228981 40.600870236579, -74.140206442888 40.60072770976))",55.846,480,550,471,549,10314,10314,2,,TW,1,,ST,50.834,,1.622.605.428,1.622.609.198,,,,,,5,,,,3C,3C,,N,25.0,"692,90879376",54.0,,,,2007 Nov 29 12:00:00 AM,2017 Mar 17 09:27:56 AM,,,,13,13,531785,C,,,,2.0,2.0,4.0,,,,,HAROLD ST,,"277,77383514067",548e763a-c833-407c-a0d0-4e863c2d8f45,,,HAROLD,HAROLD ST
"MULTILINESTRING ((-73.878127742959 40.835510585445, -73.878048738146 40.835566114729, -73.877983557336 40.835611927615), (-73.877983557336 40.835611927615, -73.877908016722 40.835663691723, -73.877831292044 40.835714441206, -73.877753406921 40.835764160446), (-73.877753406921 40.835764160446, -73.877674385112 40.835812834283, -73.877594251151 40.835860447585, -73.877513029707 40.835906985697), (-73.877513029707 40.835906985697, -73.877382494234 40.835980708851, -73.8773234969 40.836010502585, -73.877115368201 40.836115607747, -73.876837579196 40.836240209665, -73.876552258506 40.836353097278))",62.682,1447,1463,0,0,10472,10472,2,,TF,1,,AVE,57.066,,1.422.602.724,1.422.606.657,,,,,,2,,,,2A,2A,,N,25.0,"89,02260872",32.0,,,,2007 Nov 29 12:00:00 AM,2020 Aug 28 08:49:50 PM,,,,13,13,215420,C,,,,2.0,1.0,3.0,,,,,BRONX RIVER AVE,,"215,64690703986",36df4835-09ea-4924-9bd7-5b971b58856c,,,BRONX RIVER,BRONX RIVER AVE
"MULTILINESTRING ((-74.089542406666 40.605405472489, -74.088833471268 40.605024362877))",52.17,97,117,94,110,10304,10304,2,,TW,1,,AVE,47.491,,1.622.611.107,1.622.611.106,,,,,,5,,,,1D,1D,,N,25.0,"240,89441538",20.0,,,,2007 Nov 29 12:00:00 AM,2020 Aug 28 08:49:50 PM,,,,13,13,517310,S,,,,2.0,0.0,2.0,,,,,BALTIC AVE,,"96,69901745599",47065ab7-2e3a-4612-be3b-1f203413b8c8,,,BALTIC,BALTIC AVE
