ObjectID,Meter Number,Status,Pay By Cell Number,Meter_Hours,Parking_Facility_Name,Facility,Borough,On_Street,Side_of_Street,From_Street,To_Street,Latitude,Longitude,X,Y,Location
1143,1483023,Inactive,116209.0,3HR Com Mon-Sat 0700-1800,,On Street,Manhattan,NASSAU STREET,N,JOHN STREET,FULTON STREET,40.71003680593,-74.00797093549,"982,040.145155802","197,962.148744896",POINT (-74.0079709354864 40.7100368059318)
2251,4433066,Active,454541.0,2HR Pas Mon-Sat 0900-1900,,On Street,Queens,UNION TURNPIKE,N,MAIN STREET,146 STREET,40.71794298031,-73.81653245285,"1,035,108.30443922","200,895.767877638",POINT (-73.8165324528504 40.7179429803058)
4369,3063124,Active,309271.0,2HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,EAST 15 STREET,E,AVENUE T,AVENUE U,40.5990798168,-73.95639400456,"996,359.409168139","157,540.348026976",POINT (-73.9563940045595 40.5990798167966)
4591,4413171,,405187.0,2HR Pas Mon-Sat 0900-1900,,,Queens,78 Street,E,Woodside Avenue,45 Avenue,40.74341582213,-73.88699564591,"1,015,563.52659972","210,143.257584721",POINT (-73.8869956459136 40.743415822128)
5666,5780279,Inactive,,,,,Staten Island,RICHMOND TERRACE,,,HAMILTON AVENUE,40.64426862671,-74.07528717938,"963,356.860015884","174,009.790153638",POINT (-74.0752871793822 40.644268626711)
6086,1023115,Active,101935.0,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,GRAND STREET,N,ELDRIDGE STREET,ALLEN STREET,40.71757163768,-73.99174110805,"986,539.428808138","200,707.324356899",POINT (-73.9917411080507 40.7175716376794)
7041,1353009,Active,103413.0,2HR Pas Mon-Sat 0830-2200,,On Street,Manhattan,9 AVENUE,E,WEST 21 STREET,WEST 22 STREET,40.74551159295,-74.00189968305,"983,723.613901719","210,886.621583566",POINT (-74.0018996830517 40.7455115929461)
7478,2083078,Inactive,207502.0,2HR Pas Mon-Sat 0830-1900,,On Street,Bronx,EAST 241 STREET,S,RICHARDSON AVENUE,CRANFORD AVENUE,40.9035391599,-73.85082935498,"1,025,485.85780489","268,496.942386314",POINT (-73.8508293549779 40.9035391599015)
7664,1453378,Active,102513.0,2HR Pas Mon-Sat 0700-1900,,,Manhattan,West 19 Street,N,7 Avenue,8 Avenue,40.74254414947,-73.99945554917,"984,400.869436964","209,805.482013553",POINT (-73.9994555491718 40.7425441494747)
7974,1443774,Active,102707.0,2HR Pas Mon-Sat 0700-2200,,On Street,Manhattan,8 AVENUE,W,WEST 29 STREET,WEST 30 STREET,40.7494514108,-73.99560275034,"985,468.368614301","212,322.048502728",POINT (-73.9956027503436 40.7494514108001)
8006,5023010,Active,509129.0,2HR Pas Mon-Sat 0900-1900,,On Street,Staten Island,BAY STREET,E,VICTORY BLVD FOOTBRIDGE,BAY STREET,40.63722593805,-74.07604338483,"963,144.776122466","171,444.129602566",POINT (-74.0760433848319 40.6372259380461)
8247,1443839,,103481.0,,,,Manhattan,5th Ave,E,East 32nd St,East 31st St,40.74678515801,-73.98565522863,"988,224.738757715","211,350.941849142",POINT (-73.9856552286313 40.746785158011)
12205,4203060,Active,412628.0,2HR Pas Mon-Sat 0900-1900,,On Street,Queens,ROOSEVELT AVENUE,N,57 STREET,58 STREET,40.74543687393,-73.90705831813,"1,010,003.37761505","210,873.055665806",POINT (-73.9070583181334 40.7454368739269)
15479,4123062,Active,463472.0,2HR Pas Mon-Sat 0900-1900,,On Street,Queens,73 STREET,W,35 AVENUE,37 AVENUE,40.74913125255,-73.89277688327,"1,013,958.9966723","212,223.556573734",POINT (-73.8927768832718 40.749131252547)
14222,3153082,Active,313882.0,2HR Pas 0800-1900 Mon-Thur / 4Hr Pas 0800-1900 Fri,,On Street,Brooklyn,EAST 16 STREET,W,AVENUE J,AVENUE K,40.62500935616,-73.96046707532,"995,224.051858798","166,986.617192149",POINT (-73.9604670753224 40.6250093561635)
2164,4373107,Active,438433.0,2HR Pas Mon-Sat 0900-1900,,On Street,Queens,COLLEGE POINT BOULEVARD,E,15 AVENUE,18 AVENUE,40.78385398295,-73.84575292406,"1,026,965.9391623","224,893.622440889",POINT (-73.8457529240585 40.7838539829526)
8608,1023140,Inactive,105104.0,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,LUDLOW STREET,E,CANAL STREET,HESTER STREET,40.71508388961,-73.99087588315,"986,779.370257393","199,800.985618398",POINT (-73.9908758831486 40.7150838896082)
646,2243024,Active,209022.0,2HR Pas Mon-Sat 0830-1900,,On Street,Bronx,JOHNSON AVENUE,W,WEST 235 STREET,WEST 236 STREET,40.88588714735,-73.90998639369,"1,009,139.44955289","262,043.268941984",POINT (-73.9099863936863 40.8858871473473)
13951,5763001,Active,525708.0,4HR Pas Mon-Sat 0700-2200,New Dorp,Off Street,Staten Island,NEW DORP LANE,S,4 STREET,NEW DORP PLAZA,40.57435153272,-74.11738995873,"951,638.678399801","148,550.049406558",POINT (-74.1173899587251 40.5743515327192)
893,1119846,Inactive,115984.0,2HR Pas Mon-Sat 0800-1900,,On Street,Manhattan,SPRUCE STREET,N,NASSAU STREET,GOLD STREET,40.71048971687,-74.00449797402,"983,002.994279966","198,127.089359894",POINT (-74.0044979740184 40.7104897168657)
70,1443706,Active,104728.0,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,EAST 27 STREET,S,3 AVENUE,2 AVENUE,40.74120851634,-73.98108601104,"989,491.244754881","209,319.433773056",POINT (-73.9810860110444 40.741208516338)
10823,4113114,Active,463337.0,2HR Pas Mon-Sat 0830-1900,,On Street,Queens,BEACH CHANNEL DRIVE,E,MOTT AVENUE,DIX AVENUE,40.60579076267,-73.75480400513,"1,052,334.13416073","160,077.592296317",POINT (-73.7548040051302 40.6057907626689)
5386,3373004,Inactive,339827.0,2HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,RUTLAND ROAD,N,EAST 95 STREET,EAST 96 STREET,40.66377136684,-73.92480899031,"1,005,110.35262422","181,115.153239474",POINT (-73.9248089903114 40.6637713668416)
5811,1038137,Active,111258.0,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,AMSTERDAM AVENUE,W,WEST 98 STREET,WEST 99 STREET,40.79562196467,-73.96934800996,"992,737.018447056","229,144.979095638",POINT (-73.9693480099587 40.795621964669)
7376,4443123,Active,449658.0,2HR Pas Mon-Sat 0900-1900,,On Street,Queens,CROSS BAY BOULEVARD,W,158 AVENUE,159 AVENUE,40.65971517099,-73.84020747436,"1,028,584.15246131","179,668.851013973",POINT (-73.8402074743642 40.6597151709892)
5660,2093017,Active,208760.0,2HR Pas Mon-Sat 0800-1900,,On Street,Bronx,LYDIG AVENUE,S,CRUGER AVENUE,HOLLAND AVENUE,40.85442329434,-73.86625175771,"1,021,249.90564689","250,595.209489062",POINT (-73.8662517577125 40.8544232943369)
14978,1083017,Active,111260.0,2HR Pas Mon-Sat 0800-2200,,On Street,Manhattan,BROADWAY,E,WEST 62 STREET,WEST 63 STREET,40.77089589641,-73.98195882882,"989,247.151082978","220,135.461025476",POINT (-73.9819588288227 40.7708958964113)
9930,3123122,Active,313870.0,2HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,61 STREET,S,8 AVENUE,9 AVENUE,40.6347086623,-74.0099109679,"981,499.187248215","170,518.013016477",POINT (-74.0099109678953 40.6347086623018)
11867,3543068,Active,309930.0,2HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,MCDONALD AVENUE,W,VILLAGE ROAD NORTH,GRAVESEND NECK ROAD,40.59585919744,-73.97350984638,"991,606.68540588","156,365.092503473",POINT (-73.9735098463815 40.5958591974428)
12929,4433063,Active,447438.0,2HR Pas Mon-Sat 0900-1900,,On Street,Queens,UNION TURNPIKE,N,147 STREET,149 STREET,40.71859931617,-73.81416224971,"1,035,764.83068523","201,136.27559872",POINT (-73.8141622497116 40.7185993161725)
2200,3313031,Active,306570.0,2HR Pas 0800-1900 Mon-Thur / 4Hr Pas 0800-1900 Fri,,On Street,Brooklyn,EAST 18 STREET,E,AVENUE M,AVENUE N,40.618036798,-73.95707547794,"996,166.779304057","164,446.773518562",POINT (-73.9570754779404 40.6180367979971)
8063,3533002,Active,339429.0,2HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,PROSPECT PARK WEST,W,PROSPECT PARK WEST,16 STREET,40.66051106572,-73.98037150177,"989,695.829975635","179,918.991261721",POINT (-73.9803715017696 40.6605110657175)
3022,3343043,Active,312922.0,2HR Pas Mon-Sat 0900-2200,,On Street,Brooklyn,OCEAN AVENUE,W,SHORE PARKWAY,EMMONS AVENUE,40.58393955621,-73.94859172028,"998,529.344788894","152,025.543767899",POINT (-73.9485917202763 40.5839395562059)
13651,4323127,Active,406402.0,2HR Pas Mon-Sat 0800-1900,,On Street,Queens,JAMAICA AVENUE,N,132 STREET,133 STREET,40.7022723339,-73.81982075681,"1,034,208.51161939","195,184.59786956",POINT (-73.8198207568117 40.7022723338952)
8537,3123185,Active,336409.0,2HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,7 AVENUE,E,60 STREET,61 STREET,40.63651141379,-74.01198371911,"980,923.980065301","171,174.87587598",POINT (-74.0119837191116 40.6365114137936)
5438,3543097,Active,315808.0,2HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,WEST 2 STREET,E,AVENUE X,AVENUE Y,40.59011656704,-73.97197894007,"992,032.50870122","154,273.038944811",POINT (-73.9719789400729 40.5901165670393)
1323,1443016,Active,102478.0,3HR Com Mon-Fri 0800-1800 / 6HR Pas Mon-Fri 1800-2400 / 6HR Pas Sat 0800-2400,,On Street,Manhattan,WEST 39 STREET,S,7 AVENUE,8 AVENUE,40.75471388567,-73.98986083698,"987,059.08820188","214,239.470192805",POINT (-73.9898608369811 40.7547138856682)
1666,2162850,Active,217165.0,2HR Pas Mon-Sat 0900-1900,,On Street,Bronx,LAFAYETTE AVENUE,S,REVERE AVENUE,EAST TREMONT AVENUE,40.82946847544,-73.82551157818,"1,032,538.30301756","241,523.080323637",POINT (-73.8255115781793 40.8294684754389)
5510,4313072,Active,453217.0,2HR Pas Mon-Sat 0930-1900,,On Street,Queens,JAMAICA AVENUE,S,96 STREET,97 STREET,40.69449510078,-73.84890272882,"1,026,149.81513838","192,335.877845228",POINT (-73.8489027288198 40.694495100775)
5687,3033031,Active,318635.0,2HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,BELMONT AVENUE,S,ROCKAWAY AVENUE,THATFORD AVENUE,40.66846534436,-73.90982962101,"1,009,264.33939497","182,829.223302141",POINT (-73.9098296210094 40.6684653443554)
1037,4293073,Active,423818.0,2HR Pas Mon-Sat 0900-1900,,On Street,Queens,120 STREET,W,103 AVENUE,LIBERTY AVENUE,40.68700216137,-73.82345274991,"1,033,212.67863731","189,619.184459731",POINT (-73.8234527499104 40.6870021613736)
9983,1193009,Active,109127.0,3HR Com Mon-Fri 0830-1300 / 2HR Pas Mon-Fri 1300-1900 / 2HR Pas Sat 0900-1900,,On Street,Manhattan,LEXINGTON AVENUE,W,EAST 81 STREET,EAST 82 STREET,40.77670811506,-73.9577221385,"995,959.35156931","222,255.35803239",POINT (-73.9577221385033 40.7767081150601)
2823,2013080,Active,213452.0,2HR Pas Sat 0800-1900,,On Street,Bronx,EAST FORDHAM ROAD,S,EAST 188 STREET,CRESTON AVENUE,40.86214226706,-73.89879493572,"1,012,243.96696588","253,395.453232393",POINT (-73.8987949357247 40.8621422670595)
7305,4512685,Active,441455.0,2HR Pas Mon-Sat 0730-1900,,On Street,Queens,77 ROAD,S,VLEIGH PLACE,MAIN STREET,40.72055889461,-73.81894696706,"1,034,437.01772405","201,847.431000561",POINT (-73.8189469670562 40.7205588946088)
14853,1483119,Active,100469.0,"3HR Com Mon-Fri 1300-1800, 1800-2200 / 3HR Pas Sat 1000-2200",,On Street,Manhattan,MAIDEN LANE,N,PEARL STREET,WATER STREET,40.70652331208,-74.00643460646,"982,465.981574476","196,682.042053148",POINT (-74.0064346064633 40.7065233120784)
10008,3183031,Inactive,313259.0,1 HR Pas Mon-Sat 0830-2200,,On Street,Brooklyn,COURT STREET,W,2 PLACE,3 PLACE,40.67905650967,-73.99756480327,"984,925.445487559","186,675.022040978",POINT (-73.9975648032707 40.6790565096692)
9132,4081965,Active,403118.0,2HR Pas Mon-Sat 0900-1900,,On Street,Queens,164 STREET,E,89 AVENUE,JAMAICA AVENUE,40.70615165453,-73.79625046058,"1,040,740.5769673","196,612.268570647",POINT (-73.7962504605816 40.7061516545335)
2631,5043072,Active,513898.0,2HR Pas Mon-Sat 0900-1800,,On Street,Staten Island,FOREST AVENUE,N,BARD AVENUE,NORTH MADA AVENUE,40.63065386737,-74.10614484859,"954,787.461472303","169,058.43719548",POINT (-74.1061448485862 40.6306538673715)
13053,3073108,Active,311697.0,2HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,19 AVENUE,W,86 STREET,BENSON AVENUE,40.60578825084,-74.00070044716,"984,055.504970223","159,981.389732808",POINT (-74.0007004471577 40.6057882508425)
13267,1433882,Active,103385.0,3HR Com Mon-Sat 1000-1600,,On Street,Manhattan,EAST 57 STREET,N,3 AVENUE,2 AVENUE,40.76003298075,-73.96678823046,"993,450.694185048","216,178.971563146",POINT (-73.9667882304634 40.7600329807539)
