the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,street,segmentid,Rank,PMP_ID,NTA2020,Boro,Category,NTAName,FEMAFldz,FEMAFldT,HrcEvac,SHAPE_Leng
"MULTILINESTRING ((-73.81665096623519 40.67453789171683, -73.81697215697012 40.673676518346596))",4,Queens,410,"28,32",31,10,5,122 STREET,55131,4,52434,QN1001,QN,Community,South Ozone Park,X,AREA OF MINIMAL FLOOD HAZARD,"5,6","326,224891603"
"MULTILINESTRING ((-74.25422309679644 40.50616528608661, -74.25409843517714 40.50581010373048))",5,Staten Island,503,51,62,24,11,WARDS POINT AVENUE,16,5,79811,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,2,"133,964226616"
"MULTILINESTRING ((-73.82885385076081 40.69818649304847, -73.82857671739403 40.69761920611813))",4,Queens,409,29,24,14,5,120 STREET,56031,5,50784,QN0902,QN,Baseline,Richmond Hill,X,AREA OF MINIMAL FLOOD HAZARD,,"220,503353578"
"MULTILINESTRING ((-73.78519954748839 40.71891312322668, -73.78507988302111 40.718915276356675))",4,Queens,408,24,24,"11,14",5,CROYDON ROAD,180320,5,49677,QN0804,QN,Baseline,Jamaica Estates-Holliswood,X,AREA OF MINIMAL FLOOD HAZARD,,"33,1805231703"
"MULTILINESTRING ((-74.15639270712379 40.632493397822905, -74.15645094302306 40.63136803777046))",5,Staten Island,501,49,61,23,11,MAPLE PARKWAY,8394,4,70756,SI0107,SI,Community,Mariner's Harbor-Arlington-Graniteville,X,AREA OF MINIMAL FLOOD HAZARD,"5,6","410,31735479"
"MULTILINESTRING ((-73.78455804512784 40.73614834455861, -73.78562333922295 40.7358553343711))",4,Queens,408,23,25,11,6,186 LANE,180353,4,49278,QN0803,QN,Community,Fresh Meadows-Utopia,X,AREA OF MINIMAL FLOOD HAZARD,,"313,934112989"
"MULTILINESTRING ((-73.8206673493544 40.613615971662085, -73.82111415390287 40.61341841774452))",4,Queens,414,32,23,15,5,WEST 3 ROAD,169868,4,66285,QN1403,QN,Community,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,AE,,1,"143,418709785"
"MULTILINESTRING ((-73.82068102956953 40.70925206740368, -73.82014669679974 40.70836596652948))",4,Queens,409,29,27,14,6,VAN WYCK EXPWY SB EN 138 ST,56381,3,50478,QN0901,QN,Neighborhood,Kew Gardens,X,AREA OF MINIMAL FLOOD HAZARD,,"355,199906438"
"MULTILINESTRING ((-73.81955280324064 40.70575498970089, -73.81927111190532 40.7053448862278))",4,Queens,409,29,27,14,6,136 STREET,56520,4,50485,QN0901,QN,Community,Kew Gardens,X,AREA OF MINIMAL FLOOD HAZARD,,"168,594266277"
"MULTILINESTRING ((-73.97579823470531 40.74064461681907, -73.97441351866321 40.740075163612744))",1,Manhattan,106,"4,2",74,27,12,EAST 29 STREET,34668,3,32864,MN0603,MN,Neighborhood,Murray Hill-Kips Bay,X,AREA OF MINIMAL FLOOD HAZARD,"2,4,5,6","436,218874886"
"MULTILINESTRING ((-73.81976857000305 40.612525410378325, -73.8196806160055 40.61254860408657))",4,Queens,414,32,23,15,5,EAST 4 ROAD,169875,5,66222,QN1403,QN,Baseline,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,AE,,1,"25,840622969"
"MULTILINESTRING ((-74.07756434161868 40.63331562540156, -74.07794682633691 40.63254909573036))",5,Staten Island,501,49,61,23,11,BREWSTER STREET,16342,5,66884,SI0102,SI,Baseline,Tompkinsville-Stapleton-Clifton-Fox Hills,X,AREA OF MINIMAL FLOOD HAZARD,"5,6","298,76528887"
"MULTILINESTRING ((-73.80294857957284 40.70608977808206, -73.80265548634424 40.70548042965001))",4,Queens,412,24,32,14,5,BURDETTE PLACE,57274,4,57121,QN1201,QN,Community,Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,,"236,409109044"
"MULTILINESTRING ((-73.80222783399589 40.70674931187941, -73.80137961569466 40.70700364229158))",4,Queens,412,24,"32,24","11,14","6,5",88 AVENUE,57444,4,57283,QN1201,QN,Community,Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,,"252,766767699"
"MULTILINESTRING ((-74.25392303076265 40.50768188078662, -74.25495115258526 40.5077303995572))",5,Staten Island,503,51,62,24,11,AMBOY ROAD,29,5,79413,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,"1,2","286,446655607"
"MULTILINESTRING ((-73.93329729152707 40.77288584014782, -73.93326790087184 40.77287692255634))",4,Queens,401,22,37,12,12,ASTORIA BOULEVARD,9000189,4,36751,QN0102,QN,Community,Old Astoria-Hallets Point,X,AREA OF MINIMAL FLOOD HAZARD,2,"8,7649589016"
"MULTILINESTRING ((-73.78406026103956 40.71637249160784, -73.78391925215792 40.71639276773192, -73.78366097401549 40.71641806436101, -73.78340152734833 40.71643176861143, -73.78340123259707 40.71643178606714, -73.78340094855591 40.71643178553273, -73.78314131468267 40.71643388123332))",4,Queens,408,24,24,"11,14",5,DALNY ROAD,180394,5,49695,QN0804,QN,Baseline,Jamaica Estates-Holliswood,X,AREA OF MINIMAL FLOOD HAZARD,,"256,203505087"
"MULTILINESTRING ((-74.1510980776548 40.548242387403896, -74.1521336140996 40.54808076224636))",5,Staten Island,503,51,64,24,11,SCARSDALE STREET,6125,5,76924,SI0302,SI,Baseline,Great Kills-Eltingville,X,AREA OF MINIMAL FLOOD HAZARD,,"293,750665552"
"MULTILINESTRING ((-74.07601310156862 40.63777169336228, -74.07683997735136 40.6377502598479))",5,Staten Island,501,49,61,23,11,VICTORY BOULEVARD,16422,4,66991,SI0102,SI,Community,"St. George-New Brighton,Tompkinsville-Stapleton-Clifton-Fox Hills",X,AREA OF MINIMAL FLOOD HAZARD,"5,6","229,623662298"
"MULTILINESTRING ((-73.78305761987494 40.73101726278244, -73.78208395598335 40.72896850812324))",4,Queens,408,24,25,11,6,187 STREET,180410,5,49248,QN0803,QN,Baseline,Fresh Meadows-Utopia,X,AREA OF MINIMAL FLOOD HAZARD,,"793,708603081"
"MULTILINESTRING ((-73.79676021501565 40.599035586134725, -73.79676511107341 40.599305662171425))",4,Queens,414,31,31,10,5,BEACH 67 STREET,57578,5,65584,QN1402,QN,Baseline,Rockaway Beach-Arverne-Edgemere,AE,,1,"98,4050043485"
"MULTILINESTRING ((-74.25300101001635 40.506882496753384, -74.25309317077178 40.50629818977657))",5,Staten Island,503,51,62,24,11,SATTERLEE STREET,30,4,79691,SI0305,SI,Community,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,"214,413516621"
"MULTILINESTRING ((-73.78084636727706 40.73921738524246, -73.78041949378039 40.73834132121664))",4,Queens,408,23,25,11,6,194 LANE,180441,4,49251,QN0803,QN,Community,Fresh Meadows-Utopia,X,AREA OF MINIMAL FLOOD HAZARD,,"340,394178323"
"MULTILINESTRING ((-73.7689270481233 40.591783225612325, -73.76899288605138 40.592191872648726))",4,Queens,414,31,23,15,5,BEACH 37 STREET,57962,5,65187,QN1401,QN,Baseline,Far Rockaway-Bayswater,"AE,X",",AREA OF MINIMAL FLOOD HAZARD",1,"149,999138303"
"MULTILINESTRING ((-74.25300101001635 40.506882496753384, -74.25453057754042 40.50695648833388))",5,Staten Island,503,51,62,24,11,TOTTENVILLE PLACE,31,5,79929,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,2,"426,201406273"
"MULTILINESTRING ((-73.79277898351448 40.740430992709776, -73.79270996212938 40.74047594801493, -73.79268299309281 40.74048701176005, -73.79255726435436 40.740519437845066))",4,Queens,411,20,25,16,6,182 STREET,156023,5,54591,QN1101,QN,Baseline,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,,"70,4617737291"
"MULTILINESTRING ((-74.22032127948951 40.52914969268867, -74.22042124698534 40.52879687638359))",5,Staten Island,503,51,62,24,11,AMBASSADOR LANE,159429,5,78474,SI0304,SI,Baseline,Annadale-Huguenot-Prince's Bay-Woodrow,X,AREA OF MINIMAL FLOOD HAZARD,,"131,509033005"
"MULTILINESTRING ((-73.76821177843162 40.601292570435874, -73.76862957155711 40.60114564510718))",4,Queens,414,31,23,10,5,DWIGHT AVENUE,58013,5,65203,QN1401,QN,Baseline,Far Rockaway-Bayswater,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,1,"127,770959726"
"MULTILINESTRING ((-74.25287758127831 40.50762555545317, -74.25392303076265 40.50768188078662))",5,Staten Island,503,51,62,24,11,AMBOY ROAD,32,5,79934,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,1,"291,44277516"
"MULTILINESTRING ((-73.77014278138375 40.731823460333466, -73.77010830609689 40.73177950779149))",4,Queens,408,23,"24,25",11,6,FRANCIS LEWIS BOULEVARD,180576,3,49074,QN0803,QN,Neighborhood,"Fresh Meadows-Utopia,Cunningham Park",X,AREA OF MINIMAL FLOOD HAZARD,,"18,6472269773"
"MULTILINESTRING ((-73.77088676043543 40.61229970729688, -73.77150351635701 40.61267343773087))",4,Queens,414,31,23,10,5,MOTT AVENUE,58166,3,65304,QN1401,QN,Neighborhood,Far Rockaway-Bayswater,"AE,X",",0.2 PCT ANNUAL CHANCE FLOOD HAZARD",1,"218,774535196"
"MULTILINESTRING ((-73.76652749659911 40.66013564526606, -73.76681340698153 40.65905252178214))",4,Queens,413,31,31,10,5,181 STREET,58590,5,64000,QN1306,QN,Baseline,Springfield Gardens (South)-Brookville,X,AREA OF MINIMAL FLOOD HAZARD,3,"402,506255032"
"MULTILINESTRING ((-73.79629930167926 40.675689894386956, -73.79652251841877 40.67568457378529))",4,Queens,412,28,32,10,5,143 STREET,281464,5,58087,QN1203,QN,Baseline,Baisley Park,X,AREA OF MINIMAL FLOOD HAZARD,5,"61,9466306405"
"MULTILINESTRING ((-73.79232499979385 40.74904267171305, -73.79226673765241 40.749040431545325))",4,Queens,411,20,25,11,6,FAIRCHILD AVENUE,180725,5,54049,QN1101,QN,Baseline,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,,"16,1637097252"
"MULTILINESTRING ((-73.79248043447926 40.686889629464645, -73.79211644903619 40.68638277436144))",4,Queens,412,28,32,10,5,JAMES COURT,58885,5,58401,QN1203,QN,Baseline,"South Jamaica,Baisley Park",X,AREA OF MINIMAL FLOOD HAZARD,5,"210,45251533"
"MULTILINESTRING ((-73.7922665189007 40.751901572487704, -73.79220563720664 40.751899364491074))",4,Queens,411,20,25,11,6,BAGLEY AVENUE,180736,5,47111,QN1101,QN,Baseline,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,,"16,8873555692"
"MULTILINESTRING ((-73.79237517980255 40.75307044790872, -73.79230613371456 40.75305067434834))",4,Queens,"407,411","20,19","25,26",11,6,HOLLIS COURT BOULEVARD,180741,5,54425,QN1101,QN,Baseline,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,,"20,4414663424"
"MULTILINESTRING ((-73.79230613371456 40.75305067434834, -73.79131376027233 40.75276652643442))",4,Queens,411,"20,19","25,26",11,6,HOLLIS COURT BOULEVARD,180742,5,54425,QN1101,QN,Baseline,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,,"293,791666947"
"MULTILINESTRING ((-73.79245677425901 40.768777094184806, -73.79196330810883 40.768918637273366))",4,Queens,"407,411",19,26,11,6,32 AVENUE,180757,4,54565,QN1101,QN,Community,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,,"146,091721812"
"MULTILINESTRING ((-73.79196330810883 40.768918637273366, -73.79190204109584 40.76893621257129))",4,Queens,411,19,26,11,6,32 AVENUE,180758,4,54565,QN1101,QN,Community,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,,"18,138445436"
"MULTILINESTRING ((-74.25270906711708 40.51197206394596, -74.25206864637924 40.51136081824445))",5,Staten Island,503,51,62,24,11,BENTLEY STREET,36,5,79527,SI0305,SI,Baseline,Tottenville-Charleston,"AE,X",",AREA OF MINIMAL FLOOD HAZARD","1,2","285,136774935"
"MULTILINESTRING ((-73.78553549377031 40.75668867401438, -73.78328764383085 40.75729232796168))",4,Queens,411,19,26,11,6,44 AVENUE,180800,5,54452,QN1101,QN,Baseline,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,,"660,447351897"
"MULTILINESTRING ((-73.78527359206537 40.76184210551697, -73.78525170799091 40.76175695779714))",4,Queens,411,19,26,11,6,FRANCIS LEWIS BOULEVARD,180808,4,53767,QN1101,QN,Community,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,,"31,6089251234"
"MULTILINESTRING ((-73.77734421654229 40.676747271740126, -73.77610365384001 40.676427854202494))",4,Queens,412,28,32,10,5,130 AVENUE,59350,5,58664,QN1204,QN,Baseline,Springfield Gardens (North)-Rochdale Village,X,AREA OF MINIMAL FLOOD HAZARD,5,"363,250541249"
"MULTILINESTRING ((-74.25185153133741 40.50280531364854, -74.2517679506631 40.5026915291616, -74.25167354998759 40.502582180956914, -74.25156898741159 40.50247815098837, -74.25145506936771 40.5023802416375, -74.2513327304861 40.50228915504668))",5,Staten Island,503,51,62,24,11,SATTERLEE STREET,61,3,79670,SI0305,SI,Neighborhood,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,"1,5","238,242197819"
"MULTILINESTRING ((-73.78241487486882 40.75601538351436, -73.78056273800736 40.756515101096696))",4,Queens,411,19,"25,26",11,6,45 ROAD,180839,5,54449,QN1101,QN,Baseline,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,,"544,470427301"
"MULTILINESTRING ((-73.78198911566713 40.75386161671772, -73.78120021423379 40.75407150714831))",4,Queens,411,19,25,11,6,46 ROAD,180840,4,54570,QN1101,QN,Community,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,,"231,561142637"
"MULTILINESTRING ((-73.78336100639508 40.757893059582464, -73.78246571042611 40.75811906580067))",4,Queens,411,19,26,11,6,43 AVENUE,180855,5,54436,QN1101,QN,Baseline,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,,"261,343050503"
"MULTILINESTRING ((-74.19428708335175 40.55491478628541, -74.1940135009953 40.55467825588226))",5,Staten Island,503,51,63,24,11,HAMPTON GREEN,110087,5,77389,SI0303,SI,Baseline,Arden Heights-Rossville,X,AREA OF MINIMAL FLOOD HAZARD,,"114,915689408"
"MULTILINESTRING ((-74.19355035688768 40.55484527486344, -74.19395214009806 40.55461671927127))",5,Staten Island,503,51,63,24,11,HAMPTON GREEN,117916,5,77707,SI0303,SI,Baseline,Arden Heights-Rossville,X,AREA OF MINIMAL FLOOD HAZARD,,"139,281121164"
